Date,Day of Week,Weather,Breakfast Dish,Breakfast Quantity Made (kg),Breakfast Quantity Consumed (kg),Breakfast Quantity Wasted (kg),Dish1_Name,Dish1_Quantity_Made (kg),Dish1_Quantity_Consumed (kg),Dish1_Quantity_Wasted (kg),Dish2_Name,Dish2_Quantity_Made (kg),Dish2_Quantity_Consumed (kg),Dish2_Quantity_Wasted (kg),Staples1,Staples1_Quantity_Made (kg),Staples1_Quantity_Consumed (kg),Staples1_Quantity_Wasted (kg),Staples2,Staples2_Quantity_Made (kg),Staples2_Quantity_Consumed (kg),Staples2_Quantity_Wasted (kg),Dessert,Expected Diners,Avg Portion (kg),Satisfaction Score,Historical_Trend,Seasonal_Preference,Preferred Dish,Meal Type,Lunch/Dinner Expected Diners,Avg Portion Lunch/Dinner (kg),Quantity Made Lunch/Dinner (kg),Adjusted Quantity Made Lunch/Dinner (kg),Quantity Consumed Lunch/Dinner (kg),Quantity Wasted Lunch/Dinner (kg),Calories (per serving),Nutrient Value (Protein/Fiber),Preference for Dish1,Preference for Dish2,Food Cost (INR),Surplus Redistribution Potential,Notes for the Day,Total Food Waste (kg),Output
2019-05-20,Monday,Cloudy,Poha,44.13,26.04,3.19,Paneer Butter Masala,28.86,9.22,4.2,Dum Aloo,26.87,13.26,3.12,Rice,73.6,62.54,0.0,Roti,51.47,79.95,9.97,Halwa,246,0.28,5,High,High,Puri Bhaji,Dinner,488,0.35,71.73,134.95,75.35,0.57,366,10g/9g,Low,High,2277,Low,Less intake today,10.55,Paneer Butter Masala: 9.22 kg; Dum Aloo: 13.26 kg; Rice: 62.54 kg; Halwa: Halwa kg
1971-12-18,Wednesday,Cloudy,Pav Bhaji,33.65,37.82,3.57,Aloo Paratha,27.99,23.17,0.16,Dal Tadka,15.69,14.09,4.72,Paratha,69.51,51.77,8.67,Naan,98.52,84.99,0.85,Halwa,210,0.39,2,Low,High,Upma,Breakfast,377,0.43,111.27,62.18,120.99,9.76,215,12g/14g,Low,High,1824,High,Large intake today,11.92,Aloo Paratha: 23.17 kg; Dal Tadka: 14.09 kg; Paratha: 51.77 kg; Halwa: Halwa kg
2007-06-05,Monday,Sunny,Puri Bhaji,41.05,16.94,2.51,Palak Paneer,29.68,13.47,3.91,Pulao,15.54,16.48,2.56,Naan,93.18,43.98,7.45,Roti,94.16,50.96,5.69,Jalebi,368,0.34,3,Medium,Low,Paneer Butter Masala,Breakfast,225,0.47,71.3,147.35,49.14,8.74,269,20g/13g,High,High,2209,High,Less intake today,7.58,Palak Paneer: 13.47 kg; Pulao: 16.48 kg; Naan: 43.98 kg; Jalebi: Jalebi kg
2024-09-13,Monday,Sunny,Puri Bhaji,11.38,19.59,4.95,Methi Thepla,27.84,10.57,2.08,Dum Aloo,26.46,19.16,1.42,Rice,59.51,69.54,9.65,Roti,74.88,88.6,0.56,Halwa,109,0.5,4,High,Low,Puri Bhaji,Breakfast,304,0.37,135.4,123.22,44.22,6.19,450,10g/11g,Low,Medium,2098,High,Less intake today,11.97,Methi Thepla: 10.57 kg; Dum Aloo: 19.16 kg; Rice: 69.54 kg; Halwa: Halwa kg
2001-08-07,Saturday,Sunny,Poha,32.05,22.02,2.52,Dal Tadka,21.07,17.0,2.74,Chole,12.99,19.68,3.87,Naan,96.48,60.73,1.91,Paratha,98.31,78.74,1.66,Gulab Jamun,431,0.49,2,Low,Medium,Kadai Paneer,Lunch,489,0.49,110.79,78.74,134.26,9.35,179,19g/11g,Low,Low,2916,Medium,Perfect meal balance,14.07,Dal Tadka: 17.0 kg; Chole: 19.68 kg; Naan: 60.73 kg; Gulab Jamun: Gulab Jamun kg
2006-11-04,Sunday,Cloudy,Pav Bhaji,48.18,42.84,3.51,Aloo Gobi,11.52,13.35,0.2,Chana Masala,23.1,12.49,2.33,Roti,65.58,40.26,3.8,Paratha,69.45,56.24,9.13,Halwa,419,0.27,2,Low,Medium,Bhindi Fry,Dinner,221,0.4,62.25,140.98,124.9,7.93,390,10g/3g,Low,High,2117,Medium,Less intake today,9.65,Aloo Gobi: 13.35 kg; Chana Masala: 12.49 kg; Roti: 40.26 kg; Halwa: Halwa kg
2008-03-15,Monday,Cloudy,Upma,13.07,6.89,0.51,Rajma,20.55,13.07,0.49,Baingan Bharta,11.37,23.31,3.66,Rice,65.12,89.95,3.77,Roti,87.69,68.59,8.52,Kheer,174,0.42,5,Medium,High,Shahi Paneer,Breakfast,201,0.47,125.74,130.91,88.51,3.92,400,5g/13g,High,Medium,2409,High,Perfect meal balance,14.36,Rajma: 13.07 kg; Baingan Bharta: 23.31 kg; Rice: 89.95 kg; Kheer: Kheer kg
1999-04-06,Saturday,Sunny,Pav Bhaji,21.53,10.95,3.38,Butter Chicken,14.17,21.22,1.98,Dal Tadka,28.16,17.82,3.95,Roti,65.4,57.4,6.51,Naan,94.88,63.1,9.32,Kheer,441,0.42,5,Low,Medium,Kadhi Pakora,Breakfast,456,0.47,92.79,102.18,83.61,5.31,327,20g/12g,High,Medium,2411,Low,Perfect meal balance,14.17,Butter Chicken: 21.22 kg; Dal Tadka: 17.82 kg; Roti: 57.4 kg; Kheer: Kheer kg
2020-11-21,Saturday,Sunny,Dosa,15.32,11.5,4.35,Bhindi Fry,27.65,15.95,0.88,Chana Masala,18.0,13.52,3.69,Roti,81.66,77.06,2.73,Naan,85.74,80.96,8.34,Kheer,407,0.41,3,Medium,Low,Dal Tadka,Dinner,157,0.35,112.94,73.84,52.37,5.69,436,14g/8g,Medium,Low,2092,Medium,Large intake today,10.04,Bhindi Fry: 15.95 kg; Chana Masala: 13.52 kg; Roti: 77.06 kg; Kheer: Kheer kg
2014-07-24,Tuesday,Sunny,Dosa,35.97,25.02,4.06,Aloo Paratha,12.95,23.54,1.63,Gobi Manchurian,10.56,22.04,1.34,Paratha,61.67,70.79,4.82,Rice,89.95,61.48,8.01,Kheer,219,0.34,2,Low,Medium,Bhindi Fry,Dinner,272,0.48,74.71,146.79,82.01,3.02,265,5g/3g,Low,High,1371,Medium,Large intake today,15.77,Aloo Paratha: 23.54 kg; Gobi Manchurian: 22.04 kg; Paratha: 70.79 kg; Kheer: Kheer kg
2021-08-28,Thursday,Cloudy,Idli,17.95,44.75,2.93,Bhindi Fry,20.84,21.08,2.24,Dal Tadka,29.93,23.78,1.16,Roti,81.87,84.75,3.01,Rice,88.7,83.84,2.24,Kheer,351,0.45,4,Medium,Medium,Kadhi Pakora,Breakfast,294,0.38,100.18,81.77,92.29,3.69,267,14g/2g,High,Low,2172,Low,Perfect meal balance,24.11,Bhindi Fry: 21.08 kg; Dal Tadka: 23.78 kg; Roti: 84.75 kg; Kheer: Kheer kg
