Date,Day of Week,Weather,Breakfast Dish,Breakfast Quantity Made (kg),Breakfast Quantity Consumed (kg),Breakfast Quantity Wasted (kg),Dish1_Name,Dish1_Quantity_Made (kg),Dish1_Quantity_Consumed (kg),Dish1_Quantity_Wasted (kg),Dish2_Name,Dish2_Quantity_Made (kg),Dish2_Quantity_Consumed (kg),Dish2_Quantity_Wasted (kg),Dish3_Name,Dish3_Quantity_Made (kg),Dish3_Quantity_Consumed (kg),Dish3_Quantity_Wasted (kg),Staples1,Staples1_Quantity_Made (kg),Staples1_Quantity_Consumed (kg),Staples1_Quantity_Wasted (kg),Dessert,Expected Diners,Avg Portion (kg),Satisfaction Score,Historical_Trend,Seasonal_Preference,Preferred Dish,Meal Type,Lunch/Dinner Expected Diners,Avg Portion Lunch/Dinner (kg),Quantity Made Lunch/Dinner (kg),Adjusted Quantity Made Lunch/Dinner (kg),Quantity Consumed Lunch/Dinner (kg),Quantity Wasted Lunch/Dinner (kg),Calories (per serving),Nutrient Value (Protein/Fiber),Preference for Dish1,Preference for Dish2,Food Cost (INR),Surplus Redistribution Potential,Notes for the Day,Total Food Waste (kg),Output
1997-07-03,Saturday,Cloudy,Dosa,33.4,27.92,0.25,Pav Bhaji,23.98,20.92,1.53,Naan,28.71,21.02,0.13,Naan,15.84,13.89,2.45,Dal Tadka,95.7,54.54,2.0,Chole,304,0.26,3,Medium,Low,Chole,Lunch,206,0.49,122.88,141.27,126.94,2.82,145,15g/9g,Medium,Low,1266,Medium,Less intake today,16.99,Pav Bhaji: 20.92 kg; Naan: 21.02 kg; Naan: 13.89 kg; Dal Tadka: 54.54 kg; Chole: 304.00 kg
1994-09-23,Saturday,Cloudy,Baingan Bharta,30.68,40.99,3.28,Idli,26.34,21.79,3.36,Kheer,25.11,12.21,0.87,Paneer Butter Masala,22.72,22.74,2.25,Chole,80.24,59.94,4.76,Dosa,351,0.27,4,Medium,Medium,Rajma,Breakfast,407,0.45,145.02,105.77,53.54,5.22,382,8g/14g,Low,Low,2419,High,Less intake today,13.74,Idli: 21.79 kg; Kheer: 12.21 kg; Paneer Butter Masala: 22.74 kg; Chole: 59.94 kg; Dosa: 351.00 kg
1991-09-17,Wednesday,Cloudy,Idli,29.23,10.12,1.27,Kheer,16.88,16.14,0.69,Gulab Jamun,28.67,21.14,4.97,Paratha,22.09,12.49,2.88,Baingan Bharta,90.06,75.3,0.32,Roti,283,0.43,1,Low,Medium,Chole,Breakfast,201,0.2,87.1,86.92,125.86,8.27,362,9g/9g,Medium,High,2575,Medium,Large intake today,12.3,Kheer: 16.14 kg; Gulab Jamun: 21.14 kg; Paratha: 12.49 kg; Baingan Bharta: 75.30 kg; Roti: 283.00 kg
2001-10-14,Monday,Cloudy,Baingan Bharta,26.54,23.12,2.4,Pav Bhaji,15.13,12.91,3.83,Naan,22.52,9.2,2.29,Idli,28.76,11.18,1.42,Dal Tadka,57.95,89.89,1.34,Naan,348,0.47,2,Low,High,Pav Bhaji,Lunch,249,0.35,63.56,103.2,113.48,0.72,476,6g/15g,Medium,Medium,2952,Low,Less intake today,19.38,Pav Bhaji: 12.91 kg; Naan: 9.20 kg; Idli: 11.18 kg; Dal Tadka: 89.89 kg; Naan: 348.00 kg
1972-03-25,Friday,Rainy,Paneer Butter Masala,20.68,42.85,1.76,Aloo Gobi,24.72,20.33,0.23,Gulab Jamun,17.42,17.52,4.44,Dosa,19.58,22.99,2.34,Jalebi,91.3,64.98,4.88,Aloo Gobi,336,0.41,1,High,Medium,Jalebi,Breakfast,406,0.42,113.93,127.78,55.01,9.91,331,15g/12g,Low,High,2988,High,Perfect meal balance,14.39,Aloo Gobi: 20.33 kg; Gulab Jamun: 17.52 kg; Dosa: 22.99 kg; Jalebi: 64.98 kg; Aloo Gobi: 336.00 kg
2011-09-20,Saturday,Cloudy,Rajma,30.67,23.86,3.35,Naan,23.62,23.29,1.99,Rajma,12.11,17.36,2.47,Rajma,27.58,10.43,4.47,Naan,98.3,87.77,3.65,Chole,369,0.31,4,High,High,Dal Tadka,Breakfast,496,0.32,120.9,83.56,92.57,1.71,468,9g/5g,Medium,Medium,2701,Medium,Less intake today,9.73,Naan: 23.29 kg; Rajma: 17.36 kg; Rajma: 10.43 kg; Naan: 87.77 kg; Chole: 369.00 kg
1990-10-23,Friday,Cloudy,Paneer Butter Masala,11.54,34.67,1.18,Gulab Jamun,25.15,14.42,2.61,Pav Bhaji,29.4,15.82,0.43,Roti,19.9,12.72,0.17,Rajma,59.73,61.87,1.63,Naan,276,0.21,3,Low,High,Dal Tadka,Lunch,320,0.44,69.37,121.77,102.94,1.94,351,9g/5g,Medium,Low,1818,Medium,Perfect meal balance,11.26,Gulab Jamun: 14.42 kg; Pav Bhaji: 15.82 kg; Roti: 12.72 kg; Rajma: 61.87 kg; Naan: 276.00 kg
2022-06-22,Monday,Cloudy,Pav Bhaji,25.34,9.06,2.14,Roti,25.52,14.83,4.57,Roti,25.49,15.78,0.8,Kheer,25.66,21.09,2.13,Pav Bhaji,81.01,82.27,2.62,Baingan Bharta,459,0.48,4,Low,Medium,Dal Tadka,Breakfast,223,0.34,135.71,89.6,70.39,3.5,413,5g/14g,Medium,High,2657,High,Less intake today,20.22,Roti: 14.83 kg; Roti: 15.78 kg; Kheer: 21.09 kg; Pav Bhaji: 82.27 kg; Baingan Bharta: 459.00 kg
1980-09-05,Saturday,Cloudy,Idli,27.7,31.18,3.59,Roti,12.38,14.78,0.0,Roti,27.1,15.77,4.86,Rajma,23.34,21.28,2.7,Roti,88.91,73.36,5.74,Dosa,204,0.33,2,Low,Medium,Kheer,Dinner,120,0.24,67.54,61.39,64.14,2.44,356,14g/11g,Medium,Medium,2650,High,Perfect meal balance,14.64,Roti: 14.78 kg; Roti: 15.77 kg; Rajma: 21.28 kg; Roti: 73.36 kg; Dosa: 204.00 kg
1980-10-06,Tuesday,Rainy,Kheer,25.94,8.78,4.5,Dosa,27.66,13.75,4.22,Paneer Butter Masala,29.5,13.41,0.34,Gulab Jamun,10.79,24.5,3.68,Dal Tadka,91.65,74.84,5.27,Dal Tadka,498,0.23,2,High,Low,Chole,Dinner,490,0.46,101.79,96.82,128.59,3.36,137,20g/4g,Medium,Medium,1348,Medium,Less intake today,11.71,Dosa: 13.75 kg; Paneer Butter Masala: 13.41 kg; Gulab Jamun: 24.50 kg; Dal Tadka: 74.84 kg; Dal Tadka: 498.00 kg
2022-09-05,Tuesday,Sunny,Dal Tadka,21.08,10.12,2.87,Idli,20.59,18.93,1.55,Kheer,29.0,9.96,0.64,Dal Tadka,11.46,21.12,0.67,Aloo Gobi,65.55,80.46,2.75,Naan,134,0.41,2,Medium,Low,Pav Bhaji,Lunch,382,0.4,148.08,83.62,95.71,6.09,370,5g/9g,High,Low,2475,Low,Perfect meal balance,14.46,Idli: 18.93 kg; Kheer: 9.96 kg; Dal Tadka: 21.12 kg; Aloo Gobi: 80.46 kg; Naan: 134.00 kg
1986-07-25,Wednesday,Rainy,Pav Bhaji,45.8,41.48,2.81,Gulab Jamun,16.92,22.29,0.68,Rajma,20.69,21.91,0.93,Aloo Gobi,25.09,22.32,4.24,Naan,57.6,72.81,4.01,Rajma,336,0.3,2,Medium,High,Chole,Breakfast,361,0.22,64.13,69.46,43.85,0.24,100,11g/7g,Low,Medium,1464,Medium,Large intake today,6.4,Gulab Jamun: 22.29 kg; Rajma: 21.91 kg; Aloo Gobi: 22.32 kg; Naan: 72.81 kg; Rajma: 336.00 kg
2009-05-15,Monday,Sunny,Aloo Gobi,33.04,40.95,2.97,Naan,11.59,14.63,2.61,Rajma,20.29,11.8,3.43,Dosa,23.35,24.1,2.61,Baingan Bharta,82.6,70.02,8.62,Chole,174,0.4,5,High,High,Paneer Butter Masala,Lunch,250,0.47,77.74,52.77,61.15,0.38,137,9g/12g,Medium,High,2174,High,Large intake today,20.58,Naan: 14.63 kg; Rajma: 11.80 kg; Dosa: 24.10 kg; Baingan Bharta: 70.02 kg; Chole: 174.00 kg
2024-05-24,Thursday,Cloudy,Baingan Bharta,11.68,11.36,0.29,Dosa,20.53,20.16,4.02,Chole,11.98,20.18,1.31,Gulab Jamun,15.9,8.3,0.77,Dal Tadka,96.94,81.66,7.51,Rajma,476,0.49,2,Low,High,Naan,Breakfast,280,0.33,64.25,83.89,54.39,0.24,393,16g/15g,Low,Low,1723,Low,Perfect meal balance,7.43,Dosa: 20.16 kg; Chole: 20.18 kg; Gulab Jamun: 8.30 kg; Dal Tadka: 81.66 kg; Rajma: 476.00 kg
1990-07-21,Friday,Cloudy,Roti,48.88,26.5,0.93,Idli,22.73,10.98,1.04,Idli,13.58,15.77,4.1,Naan,28.77,14.88,2.88,Rajma,58.17,78.78,2.2,Idli,268,0.44,1,Low,Low,Idli,Lunch,174,0.28,71.8,61.06,96.83,8.5,404,12g/6g,Low,Medium,2290,Low,Perfect meal balance,18.6,Idli: 10.98 kg; Idli: 15.77 kg; Naan: 14.88 kg; Rajma: 78.78 kg; Idli: 268.00 kg
