Date,Meal Time,Expected Diners,Actual Diners,Food Prepared (kg),Food Consumed (kg),Portion Size (g),Food Waste (kg),Special Event,Satisfaction Score,Waste Feedback,Surplus Food (kg),Food Distributed (kg),Weather,Suggestions
2024-07-01,Dinner,3906,3904,77.29,64.56,324,12.73,No Event,2,Moderate Waste,7.33,5.39,Rainy,Consider changing the menu or improving food quality.
2024-07-02,Lunch,2541,2491,57.87,44.72,307,13.15,Holiday,5,Minimal Waste,5.35,4.08,Rainy,Consider offering warm food options.
2024-05-24,Dinner,2767,2806,67.96,51.1,499,16.86,No Event,4,Moderate Waste,8.08,5.11,Rainy,Consider offering warm food options.
2024-03-05,Lunch,2010,1969,87.09,86.04,301,1.05,Holiday,1,Minimal Waste,6.51,5.85,Windy,Consider changing the menu or improving food quality.
2024-01-06,Lunch,2464,2462,61.47,59.36,310,2.11,No Event,3,Moderate Waste,3.49,2.84,Cloudy,Portion sizes seem optimal; continue as is.
2024-01-11,Dinner,3276,3316,81.81,66.64,327,15.17,Sports Day,2,Moderate Waste,6.15,2.68,Sunny,Consider changing the menu or improving food quality.
2024-09-07,Dinner,3328,3293,65.34,45.2,485,20.14,Holiday,4,High Waste,2.21,2.03,Windy,Reduce portion size by 10-20% for the next meal.
2024-04-15,Dinner,2681,2666,68.9,50.1,445,18.8,Sports Day,3,Moderate Waste,7.67,3.62,Cloudy,Increase portions slightly for high energy consumption.
2024-01-28,Breakfast,2337,2290,84.99,71.8,273,13.19,Holiday,2,Minimal Waste,3.78,3.28,Rainy,Consider changing the menu or improving food quality.
2024-07-06,Lunch,2507,2478,67.12,58.64,365,8.48,Staff Meeting,2,High Waste,6.36,3.65,Sunny,Reduce portion size by 10-20% for the next meal.
2024-07-15,Breakfast,1600,1564,53.84,52.3,253,1.54,Sports Day,2,Minimal Waste,3.46,3.38,Rainy,Consider changing the menu or improving food quality.
2024-02-26,Lunch,2166,2182,94.68,77.65,326,17.03,Holiday,4,High Waste,1.78,1.76,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-03-25,Lunch,2845,2890,64.52,48.88,317,15.64,Staff Meeting,5,Minimal Waste,7.74,2.49,Sunny,Portion sizes seem optimal; continue as is.
2024-11-05,Lunch,2799,2842,84.68,80.71,310,3.97,No Event,2,High Waste,3.34,2.38,Sunny,Reduce portion size by 10-20% for the next meal.
2024-07-11,Dinner,3409,3402,58.27,51.13,481,7.14,No Event,2,High Waste,7.28,1.73,Sunny,Reduce portion size by 10-20% for the next meal.
2024-09-18,Breakfast,1061,1056,51.57,44.32,296,7.25,Staff Meeting,1,Minimal Waste,3.11,1.29,Windy,Consider changing the menu or improving food quality.
2024-10-04,Dinner,2755,2751,92.31,49.31,392,43.0,Holiday,5,High Waste,8.44,4.87,Sunny,Reduce portion size by 10-20% for the next meal.
2024-08-02,Dinner,2508,2492,58.39,49.3,318,9.09,Holiday,3,High Waste,2.88,0.76,Windy,Reduce portion size by 10-20% for the next meal.
2024-02-08,Breakfast,2364,2379,93.81,48.73,338,45.08,Sports Day,3,Minimal Waste,3.36,0.77,Rainy,Increase portions slightly for high energy consumption.
2024-03-10,Lunch,2610,2561,67.28,50.16,330,17.12,No Event,4,High Waste,7.21,1.1,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-06-05,Dinner,2636,2659,92.94,46.5,359,46.44,Holiday,4,High Waste,4.65,0.5,Windy,Reduce portion size by 10-20% for the next meal.
2024-01-19,Dinner,2713,2710,85.28,45.54,456,39.74,Staff Meeting,2,Minimal Waste,6.01,4.84,Sunny,Consider changing the menu or improving food quality.
2024-04-09,Lunch,2573,2615,89.62,87.19,383,2.43,Sports Day,4,Minimal Waste,8.31,2.9,Sunny,Increase portions slightly for high energy consumption.
2024-05-27,Breakfast,2389,2351,67.68,45.52,255,22.16,Sports Day,1,High Waste,7.08,4.19,Rainy,Reduce portion size by 10-20% for the next meal.
2024-01-25,Breakfast,1290,1340,50.43,49.23,253,1.2,Holiday,3,High Waste,5.21,2.18,Sunny,Reduce portion size by 10-20% for the next meal.
2024-07-27,Breakfast,1245,1234,84.98,84.06,333,0.92,Holiday,3,Minimal Waste,1.71,0.61,Windy,Portion sizes seem optimal; continue as is.
2024-06-13,Dinner,2607,2585,87.05,59.13,458,27.92,Sports Day,1,Minimal Waste,4.96,3.0,Rainy,Consider changing the menu or improving food quality.
2024-03-23,Breakfast,1470,1446,95.48,85.33,349,10.15,Staff Meeting,2,Minimal Waste,8.76,3.67,Windy,Consider changing the menu or improving food quality.
2024-03-20,Breakfast,2002,1973,78.96,68.42,293,10.54,No Event,4,Moderate Waste,9.9,5.7,Windy,Portion sizes seem optimal; continue as is.
2024-05-31,Dinner,3614,3643,86.41,55.29,408,31.12,Sports Day,3,Moderate Waste,2.07,0.58,Cloudy,Increase portions slightly for high energy consumption.
2024-01-18,Lunch,2186,2190,54.84,44.28,375,10.56,Staff Meeting,4,Moderate Waste,6.2,3.67,Windy,Portion sizes seem optimal; continue as is.
2024-08-26,Lunch,2602,2597,92.68,73.2,314,19.48,Holiday,4,Moderate Waste,5.36,0.71,Sunny,Portion sizes seem optimal; continue as is.
2024-04-11,Lunch,2650,2644,70.53,50.99,333,19.54,No Event,4,Moderate Waste,5.84,4.35,Cloudy,Portion sizes seem optimal; continue as is.
2024-07-29,Dinner,3950,3950,76.74,40.46,337,36.28,Staff Meeting,4,Moderate Waste,8.46,3.55,Rainy,Consider offering warm food options.
2024-04-27,Lunch,2464,2431,81.39,63.29,355,18.1,No Event,3,High Waste,5.16,4.93,Rainy,Reduce portion size by 10-20% for the next meal.
2024-06-29,Breakfast,1256,1207,64.66,45.8,349,18.86,Sports Day,4,Minimal Waste,6.2,6.15,Sunny,Increase portions slightly for high energy consumption.
2024-10-15,Dinner,2987,2958,74.36,72.41,337,1.95,Staff Meeting,2,Moderate Waste,7.4,5.98,Sunny,Consider changing the menu or improving food quality.
2024-01-07,Breakfast,1099,1067,50.16,41.22,280,8.94,Holiday,3,Moderate Waste,6.73,2.65,Cloudy,Portion sizes seem optimal; continue as is.
2024-09-04,Dinner,3909,3951,93.07,71.37,494,21.7,Staff Meeting,2,High Waste,4.3,3.2,Rainy,Reduce portion size by 10-20% for the next meal.
2024-04-05,Dinner,2657,2635,85.92,40.03,317,45.89,Sports Day,4,Minimal Waste,7.41,2.59,Rainy,Increase portions slightly for high energy consumption.
2024-05-31,Dinner,2516,2510,56.26,42.53,408,13.73,No Event,2,Minimal Waste,7.63,1.22,Rainy,Consider changing the menu or improving food quality.
2024-07-20,Lunch,2850,2850,91.98,43.18,390,48.8,Staff Meeting,1,Moderate Waste,8.34,5.24,Windy,Consider changing the menu or improving food quality.
2024-03-27,Breakfast,1588,1565,88.53,80.08,291,8.45,Sports Day,1,High Waste,5.01,3.38,Sunny,Reduce portion size by 10-20% for the next meal.
2024-09-30,Breakfast,1917,1952,65.88,53.74,337,12.14,Holiday,2,High Waste,9.5,3.97,Sunny,Reduce portion size by 10-20% for the next meal.
2024-07-16,Breakfast,1443,1465,72.04,42.82,324,29.22,Staff Meeting,2,Minimal Waste,8.26,4.89,Sunny,Consider changing the menu or improving food quality.
2024-10-30,Dinner,3900,3916,69.93,50.12,403,19.81,No Event,1,High Waste,2.24,2.16,Sunny,Reduce portion size by 10-20% for the next meal.
2024-02-25,Lunch,2499,2451,62.04,53.17,358,8.87,No Event,2,Moderate Waste,2.93,1.26,Sunny,Consider changing the menu or improving food quality.
2024-04-30,Breakfast,1082,1084,64.25,57.13,280,7.12,No Event,5,Moderate Waste,8.75,7.23,Cloudy,Portion sizes seem optimal; continue as is.
2024-04-20,Dinner,2924,2942,68.91,51.87,384,17.04,No Event,4,Minimal Waste,6.86,6.58,Sunny,Portion sizes seem optimal; continue as is.
