Date,Weekday/Weekend,Holiday Flag,Meal Time,Meal Type,Expected Diners,Actual Diners,Food Prepared (kg),Food Consumed (kg),Portion Size (g),Meal Variability Score,Cost per Meal (INR),Total Meal Cost (INR),Food Waste (kg),Special Event,Satisfaction Score,Waste Feedback,Surplus Food (kg),Food Distributed (kg),Weather,Diner Age Group,Vegetarian Meal Ratio,Leftovers Feedback,Hygiene Rating,Previous Day Leftover Used,Diner Feedback,Feedback Sentiment,Food Shortage Flag,Leftover Repurposed Flag,Suggestions
2024-01-16,Weekday,Yes,Breakfast,Dietary,208,222,51.14,50.12,349,1,26.01,5774.22,1.02,Staff Meeting,1,Moderate Waste,3.7,2.37,Windy,Adults,0.67,Poor,9,Yes,Tasty but less,Positive,Yes,Yes,Consider changing the menu or improving food quality.
2024-02-26,Weekday,Yes,Breakfast,Regular,191,196,36.62,35.03,349,1,13.4,2626.4,1.59,No Event,5,Minimal Waste,0.35,0.24,Windy,Adults,0.29,Poor,8,Yes,Average experience,Neutral,Yes,No,Portion sizes seem optimal; continue as is.
2024-05-07,Weekday,No,Dinner,Dietary,177,152,66.07,38.39,343,4,33.45,5084.4,27.68,No Event,1,Moderate Waste,2.23,0.21,Rainy,Elderly,0.56,Poor,8,Yes,Needs improvement,Neutral,No,Yes,Consider changing the menu or improving food quality.
2024-04-25,Weekday,Yes,Lunch,Dietary,143,148,41.56,36.55,275,1,19.5,2886.0,5.01,Holiday,2,High Waste,4.96,3.16,Sunny,Elderly,0.34,Poor,7,No,Average experience,Neutral,Yes,Yes,Reduce portion size by 10-20% for the next meal.
2024-04-05,Weekday,Yes,Dinner,Special,199,182,53.23,43.02,288,5,49.48,9005.36,10.21,No Event,1,Moderate Waste,0.35,0.18,Sunny,Elderly,0.53,Good,8,Yes,Good food,Positive,No,Yes,Consider changing the menu or improving food quality.
2024-10-02,Weekday,Yes,Dinner,Special,203,195,53.77,51.92,233,2,37.12,7238.4,1.85,Sports Day,2,Minimal Waste,3.07,2.92,Cloudy,Youth,0.65,Good,9,Yes,Needs improvement,Neutral,No,Yes,Consider changing the menu or improving food quality.
2024-07-28,Weekend,No,Lunch,Special,218,228,61.25,59.96,322,4,27.44,6256.32,1.29,Holiday,3,Moderate Waste,4.0,0.26,Windy,Adults,0.29,Poor,8,Yes,Tasty but less,Positive,Yes,No,Portion sizes seem optimal; continue as is.
2024-09-19,Weekday,Yes,Dinner,Regular,207,208,45.97,31.55,229,4,35.11,7302.88,14.42,Staff Meeting,1,Minimal Waste,3.69,2.05,Sunny,Youth,0.47,Poor,8,Yes,Average experience,Neutral,Yes,No,Consider changing the menu or improving food quality.
2024-09-21,Weekend,No,Lunch,Special,192,206,65.65,41.39,240,4,26.93,5547.58,24.26,Sports Day,4,High Waste,0.38,0.33,Cloudy,Youth,0.39,Good,8,No,Tasty but less,Positive,Yes,Yes,Reduce portion size by 10-20% for the next meal.
2024-11-08,Weekday,No,Breakfast,Special,143,114,45.25,41.42,307,3,28.7,3271.8,3.83,Sports Day,4,High Waste,4.49,4.11,Rainy,Adults,0.48,Good,10,Yes,Good food,Positive,No,No,Reduce portion size by 10-20% for the next meal.
2024-03-18,Weekday,No,Dinner,Regular,123,117,52.64,46.45,328,1,31.54,3690.18,6.19,No Event,3,Minimal Waste,0.7,0.57,Sunny,Youth,0.22,Average,10,No,Needs improvement,Neutral,No,No,Portion sizes seem optimal; continue as is.
2024-04-30,Weekday,Yes,Breakfast,Dietary,233,221,62.0,31.02,270,3,30.44,6727.24,30.98,Sports Day,5,High Waste,2.73,1.74,Rainy,Youth,0.37,Good,8,Yes,Tasty but less,Positive,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-04-17,Weekday,No,Breakfast,Special,237,209,55.42,52.0,324,2,40.01,8362.09,3.42,Staff Meeting,2,Moderate Waste,2.54,0.41,Sunny,Adults,0.3,Poor,7,No,Needs improvement,Neutral,No,Yes,Consider changing the menu or improving food quality.
2024-09-10,Weekday,Yes,Lunch,Special,180,163,52.11,41.97,252,1,31.57,5145.91,10.14,Sports Day,1,High Waste,0.42,0.2,Cloudy,Elderly,0.24,Poor,10,No,Tasty but less,Positive,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-03-13,Weekday,No,Lunch,Regular,106,76,31.08,25.39,279,1,39.0,2964.0,5.69,Staff Meeting,5,High Waste,2.04,0.64,Rainy,Youth,0.21,Good,7,No,Good food,Positive,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-01-04,Weekday,Yes,Dinner,Special,133,150,30.26,25.19,215,3,10.77,1615.5,5.07,Staff Meeting,1,Minimal Waste,4.6,4.44,Rainy,Adults,0.75,Average,9,No,Tasty but less,Positive,Yes,Yes,Consider changing the menu or improving food quality.
2024-07-12,Weekday,Yes,Dinner,Regular,102,100,66.81,57.8,273,1,48.02,4802.0,9.01,Staff Meeting,3,High Waste,4.26,4.21,Cloudy,Adults,0.41,Average,7,No,Needs improvement,Neutral,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-07-09,Weekday,Yes,Breakfast,Dietary,205,203,65.59,57.65,226,3,45.07,9149.21,7.94,Staff Meeting,5,Moderate Waste,3.78,2.96,Cloudy,Elderly,0.71,Poor,9,No,Tasty but less,Positive,No,Yes,Portion sizes seem optimal; continue as is.
2024-07-02,Weekday,No,Breakfast,Regular,213,193,67.57,35.36,303,2,44.02,8495.86,32.21,Staff Meeting,2,Minimal Waste,1.41,0.16,Windy,Youth,0.28,Good,7,Yes,Average experience,Neutral,No,No,Consider changing the menu or improving food quality.
2024-07-10,Weekday,Yes,Lunch,Regular,167,138,66.63,63.31,339,5,32.38,4468.44,3.32,Holiday,4,Minimal Waste,3.02,0.17,Rainy,Elderly,0.32,Average,8,Yes,Good food,Positive,No,No,Consider offering warm food options.
2024-04-24,Weekday,No,Breakfast,Special,210,230,32.91,29.42,206,2,30.51,7017.3,3.49,Holiday,1,Moderate Waste,3.61,3.51,Windy,Adults,0.61,Poor,10,Yes,Average experience,Neutral,Yes,Yes,Consider changing the menu or improving food quality.
2024-05-01,Weekday,Yes,Lunch,Special,168,180,60.22,55.48,276,5,35.1,6318.0,4.74,Holiday,2,Moderate Waste,1.56,1.08,Windy,Elderly,0.55,Good,9,Yes,Average experience,Neutral,Yes,No,Consider changing the menu or improving food quality.
2024-03-03,Weekend,Yes,Breakfast,Special,237,237,30.17,27.05,266,2,29.5,6991.5,3.12,Holiday,3,High Waste,1.12,0.47,Cloudy,Youth,0.49,Good,8,No,Average experience,Neutral,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-11-06,Weekday,Yes,Breakfast,Regular,134,131,64.02,43.48,327,3,47.32,6198.92,20.54,Sports Day,5,Moderate Waste,0.44,0.15,Sunny,Youth,0.4,Good,7,Yes,Tasty but less,Positive,No,No,Increase portions slightly for high energy consumption.
2024-09-10,Weekday,Yes,Lunch,Regular,112,94,49.73,38.79,233,3,29.31,2755.14,10.94,Staff Meeting,2,Moderate Waste,1.51,1.11,Rainy,Adults,0.74,Good,8,Yes,Tasty but less,Positive,No,No,Consider changing the menu or improving food quality.
